"",[Omission -> Commission]: Estimates,[Passengers -> Pedestrians]: Estimates,Law [Illegal -> Legal]: Estimates,Gender [Male -> Female]: Estimates,Fitness [Large -> Fit]: Estimates,Social Status [Low -> High]: Estimates,Age [Elderly -> Young]: Estimates,No. Characters [Less -> More]: Estimates,Species [Pets -> Humans]: Estimates,[Omission -> Commission]: se,[Passengers -> Pedestrians]: se,Law [Illegal -> Legal]: se,Gender [Male -> Female]: se,Fitness [Large -> Fit]: se,Social Status [Low -> High]: se,Age [Elderly -> Young]: se,No. Characters [Less -> More]: se,Species [Pets -> Humans]: se
ar,0.0267512466327399,0.0318509690773391,0.00465509944985212,-0.0297024531782453,0.0233441563908557,0.0258403345380916,0.000836958305963545,0.0197308502363637,-0.0262919889867273,0.013422604737469,0.0200412668919302,0.0251620798203836,0.0321161319739331,0.0319401348650472,0.0298120127729608,0.0307052683544905,0.0335813891828944,0.0325190609147642
de,0.0826409612218022,-0.144058314494348,0.260686333534019,0.0161272689684706,0.0325394676407748,-0.158152997044186,-0.0399103760979188,-0.192721724373938,-0.247446389400892,0.016775045919791,0.0222961053878042,0.0283404689602924,0.0336000453635565,0.0337421781588953,0.0312883698488371,0.0321598677592055,0.0342918822464172,0.0332973828836669
en,0.0455954324685162,-0.233490512703679,0.264393768345003,-0.0014099456207478,0.0457255794819402,-0.0878859522670485,-0.000138817983219144,-0.221898522099305,-0.339114593540591,0.0166802309140752,0.0229287560842193,0.0271231536022514,0.0327253397850436,0.0334193199937317,0.0315291635197772,0.0308500871291572,0.0335686384324833,0.0327422173571863
es,0.0485683030495704,-0.12900581009198,0.0942346775056151,-0.0432301756846068,-0.00313071219396504,-0.0306467679381292,-0.0233493733318822,-0.161845029128082,-0.124413911808517,0.0154766371406327,0.0209528158602884,0.0257799530868796,0.0324797881822399,0.0328425467760153,0.03019586794251,0.0297982203294485,0.0333598784599521,0.0321126644533282
fr,0.0643968322847448,0.00536006615500034,0.1060093101989,-0.0513438095188337,0.00424137056700628,-0.0275663767783211,-0.0196755078107549,-0.03648355287795,-0.0362657061996162,0.0141944372720209,0.0210327240533525,0.0265321369863705,0.0326058363654132,0.0315701047583649,0.0299578895107461,0.0307891133603315,0.0340408967413337,0.0323666362502045
ja,0.0716668158420795,0.0659377879850869,0.0755395683453232,-0.0319956122051738,0.0187819491250377,-0.0104120446009261,-0.00183607948092649,-0.0256303934604716,0.0219191839665261,0.015295202777608,0.0201912279856131,0.0262986904729821,0.0329402134967036,0.0321270701126154,0.0300812966954817,0.0306436177544999,0.032720427058329,0.0328329597025792
ko,0.000814859757683037,-0.0287343354470048,0.0674239114606089,-0.0691600957343579,-0.0090644819050444,-0.013199700315644,0.00467724680135345,-0.120861175972089,0.030323182184374,0.0170818786593006,0.0255447061321678,0.0306596389429788,0.0384262691431864,0.0379199991434715,0.0384812571513713,0.0368727327515804,0.0391148270558914,0.0397886483235602
pt,0.0451423071286177,-0.0385584244245361,0.122725349132459,-0.0393538735592107,0.0105307802883648,-0.0543248242282658,-0.0148334175748743,-0.151610752811727,-0.0780040042382303,0.0164620522189913,0.0214609643531647,0.0266767900358526,0.0319407891736473,0.0320681275905,0.0302522400015532,0.0308355035832701,0.0332925870158213,0.0327305620546152
ru,0.058020882316605,-0.0137222942387582,0.103925066904548,-0.02354932266874,0.0138068554000281,-0.0455438584763842,0.000540400407228136,-0.105346004973996,-0.0621981901277585,0.0169468864610426,0.0216796681329704,0.0268308225763926,0.0327390028240311,0.031995645249622,0.0312409442402139,0.0320937761349726,0.0338864779949622,0.0333694228884386
zh,0.000673926893551938,-0.0584590393556401,0.163248829323429,0.0134148895473488,0.0543878734377546,-0.0238108247432399,-0.0308725131499303,-0.121398388209901,-0.0517760348180259,0.019972072189624,0.0272303372762958,0.0323660765840828,0.0388371354959974,0.0400376049957075,0.0396332361188058,0.0375517283573852,0.0423338144444523,0.0407740031658006
